rank,title,studio,gross,year
233,Snow White and the Seven Dwarfs,Dis.,184925486.0,1937
234,Pitch Perfect 2,Uni.,184296230.0,2015
235,Dances with Wolves,Orion,184208848.0,1990
236,Batman Forever,WB,184031112.0,1995
237,The Fugitive,WB,183875760.0,1993
238,The Revenant,Fox,183637894.0,2015
239,Ocean's Eleven,WB,183417150.0,2001
240,The Simpsons Movie,Fox,183135014.0,2007
241,What Women Want,Par.,182811707.0,2000
242,The Perfect Storm,WB,182618434.0,2000
243,Lincoln,BV,182207973.0,2012
244,Liar Liar,Uni.,181410615.0,1997
245,Jurassic Park III,Uni.,181171875.0,2001
246,Thor,Par.,181030624.0,2011
247,Mission: Impossible,Par.,180981856.0,1996
248,Ant-Man,BV,180202163.0,2015
249,Planet of the Apes (2001),Fox,180011740.0,2001
250,Madagascar: Escape 2 Africa,P/DW,180010950.0,2008
251,X-Men Origins: Wolverine,Fox,179883157.0,2009
252,Indiana Jones and the Temple of Doom,Par.,179870271.0,1984
253,Top Gun,Par.,179800601.0,1986
254,Hitch,Sony,179495555.0,2005
255,MIB 3,Sony,179020854.0,2012
256,Pretty Woman,BV,178406268.0,1990
257,Home (2015),Fox,177397510.0,2015
258,Night at the Museum: Battle of the Smithsonian,Fox,177243721.0,2009
259,Tootsie,Col.,177200000.0,1982
260,How to Train Your Dragon 2,Fox,177002924.0,2014
261,Rise of the Planet of the Apes,Fox,176760185.0,2011
262,Captain America: The First Avenger,Par.,176654505.0,2011
263,The Karate Kid,Sony,176591618.0,2010
264,There's Something About Mary,Fox,176484651.0,1998
265,Ice Age,Fox,176387405.0,2002
266,The Bourne Supremacy,Uni.,176241941.0,2004
267,Get Out,Uni.,176040665.0,2017
268,The LEGO Batman Movie,WB,175750384.0,2017
269,The Boss Baby,Fox,175003033.0,2017
270,Crocodile Dundee,Par.,174803506.0,1986
271,Crazy Rich Asians,WB,174532921.0,2018
272,The Greatest Showman,Fox,174340174.0,2017
273,Elf,NL,173840591.0,2003
274,Apollo 13,Uni.,173837933.0,1995
275,Home Alone 2: Lost in New York,Fox,173585516.0,1992
276,National Treasure,BV,173008894.0,2004
277,Air Force One,Sony,172956409.0,1997
278,Rain Man,MGM,172825435.0,1988
279,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876.0,2017
280,Us,Uni.,172065635.0,2019
281,Tron Legacy,BV,172062763.0,2010
282,Mary Poppins Returns,BV,171958438.0,2018
283,The Matrix,WB,171479930.0,1999
284,True Grit,Par.,171243005.0,2010
285,Tarzan,BV,171091819.0,1999
286,A Beautiful Mind,Uni.,170742341.0,2001
287,Chicago,Mira.,170687518.0,2002
288,The Help,BV,169708112.0,2011
289,Hotel Transylvania 2,Sony,169700110.0,2015
290,Hidden Figures,Fox,169607287.0,2016
291,Bridesmaids,Uni.,169106725.0,2011
292,Quantum of Solace,Sony,168368427.0,2008
293,Wild Hogs,BV,168273550.0,2007
294,Kong: Skull Island,WB,168052812.0,2017
295,Three Men and a Baby,BV,167780960.0,1987
296,Gone Girl,Fox,167767189.0,2014
297,Hotel Transylvania 3: Summer Vacation,Sony,167510016.0,2018
298,Casino Royale,Sony,167445960.0,2006
299,Meet the Parents,Uni.,166244045.0,2000
300,Fifty Shades of Grey,Uni.,166167230.0,2015
301,2012,Sony,166112167.0,2009
302,Robin Hood: Prince of Thieves,WB,165493908.0,1991
303,Kung Fu Panda 2,P/DW,165249063.0,2011
304,Hannibal,MGM,165092268.0,2001
305,Catch Me If You Can,DW,164615351.0,2002
306,The Proposal,BV,163958031.0,2009
307,The Pursuit of Happyness,Sony,163566459.0,2006
308,Big Daddy,Sony,163479795.0,1999
309,Clash of the Titans (2010),WB,163214888.0,2010
310,The SpongeBob Movie: Sponge Out of Water,Par.,162994032.0,2015
311,Batman Returns,WB,162831698.0,1992
312,Django Unchained,Wein.,162805434.0,2012
313,A Bug's Life,BV,162798565.0,1998
314,Jason Bourne,Uni.,162434410.0,2016
315,Grown Ups,Sony,162001186.0,2010
316,The Waterboy,BV,161491646.0,1998
317,Ice Age: Continental Drift,Fox,161321843.0,2012
318,Straight Outta Compton,Uni.,161197785.0,2015
319,Die Another Day,MGM,160942139.0,2002
320,Shark Tale,DW,160861908.0,2004
321,The Heat,Fox,159582188.0,2013
322,Fantastic Beasts: The Crimes of Grindelwald,WB,159555901.0,2018
323,How to Train Your Dragon: The Hidden World,Uni.,159505660.0,2019
324,Halloween (2018),Uni.,159342015.0,2018
325,The Sound of Music,Fox,159287539.0,1965
326,Star Trek Beyond,Par.,158848340.0,2016
327,The Firm,Par.,158348367.0,1993
328,The Longest Yard,Par.,158119460.0,2005
329,X-Men,Fox,157299717.0,2000
330,Scary Movie,Mira.,157019771.0,2000
331,Avengers: Endgame,BV,156700000.0,2019
332,Fatal Attraction,Par.,156645693.0,1987
333,Who Framed Roger Rabbit,BV,156452370.0,1988
334,The Sting,Uni.,156000000.0,1973
335,What Lies Beneath,DW,155464351.0,2000
336,X-Men: Apocalypse,Fox,155442489.0,2016
