rank,title,studio,gross,year
9230,Grace Jones: Bloodlight and Bami,KL,375208.0,2018
9231,Fish Tank,IFC,374675.0,2010
9232,Genghis Blues,Roxie,374550.0,1999
9233,Annie Brocoli dans les fonds marin,TVA,374360.0,2003
9234,The Decline of Western Civilization Part II: The Metal Years,NL,373743.0,1988
9235,Venus in Fur,IFC,373605.0,2014
9236,Miral,Wein.,373420.0,2011
9237,Joe (2014),RAtt.,373375.0,2014
9238,Keep the River on Your Right - A Modern Cannibal Tale,IFC,373366.0,2001
9239,Movers and Shakers,MGM,372438.0,1985
9240,Pom Poko - Studio Ghibli Fest 2018,Fathom,372405.0,2018
9241,Towelhead,WIP,372124.0,2008
9242,The Star Maker,Mira.,371674.0,1996
9243,Highwaymen,NL,371396.0,2004
9244,The Bicycle Thief,AMJB,371111.0,1949
9245,The Hummingbird Project,Orch.,370949.0,2019
9246,Open Your Eyes,Art.,370720.0,1999
9247,Light Years,Mira.,370698.0,1988
9248,The Minus Man,Art.,370668.0,1999
9249,Shadowboxer,Free,370627.0,2006
9250,Nico and Dani,Avat.,370562.0,2001
9251,Hava Nagila (The Movie),ICir,370218.0,2013
9252,Me Myself I,SPC,369975.0,2000
9253,Le Cercle Rouge (Re-issue),Rialto,369970.0,2003
9254,Shootout at Wadala,Eros,369573.0,2013
9255,Mooz-lum,PF,369129.0,2011
9256,When Comedy Went to School,ICir,369065.0,2013
9257,Lebanon,SPC,368088.0,2010
9258,The Basket,North,367098.0,1999
9259,The Oranges,ATO,366377.0,2012
9260,The Animation Show,TAS,366344.0,2003
9261,The Brown Bunny,Wells,366301.0,2004
9262,She Hate Me,SPC,366037.0,2004
9263,Baadasssss!,SPC,365727.0,2004
9264,Believer,WGUSA,365639.0,2018
9265,Glen Campbell... I'll Be Me,A23,365422.0,2014
9266,Mountain,Greenwich,365412.0,2018
9267,Thoda Pyaar Thoda Magic,Yash,365401.0,2008
9268,Tera Jadoo Chal Gayaa,VidS,365318.0,2000
9269,Palookaville,Gold.,365284.0,1996
9270,Katti Batti,UTV,364932.0,2015
9271,Real Life,Par.,364642.0,1979
9272,Deewane Huye Paagal,UTV,364357.0,2005
9273,Nostradamus,OrionC,364164.0,1994
9274,The Toxic Avenger Part III: The Last Temptation of Toxie,Troma,363561.0,1989
9275,The Adventures of Felix,Wells,363409.0,2001
9276,Breathless (2010 re-issue),Rialto,363031.0,2010
9277,Kung Fu Yoga,WGUSA,362657.0,2017
9278,The Source,Wells,362649.0,1999
9279,Kusama: Infinity,Magn.,360931.0,2018
9280,La Riviere aux Castors,All.,360886.0,2008
9281,I'll Sleep When I'm Dead,ParC,360759.0,2004
9282,Grateful Dawg,Sony,360251.0,2001
9283,Disney Junior HalloVeen Party,Fathom,359745.0,2017
9284,Letters from Baghdad,Vita.,359735.0,2017
9285,An Affair of Love,FL,359050.0,2000
9286,Revolution,WB,358574.0,1985
9287,Enduring Love,ParC,358362.0,2004
9288,American Ninja 4: The Annihilation,Can.,358047.0,1991
9289,City of Ghosts,UA,357197.0,2003
9290,Artemisia,Mira.,356749.0,1998
9291,Lovelace,RTWC,356582.0,2013
9292,Mr. Donkey,CL,356255.0,2016
9293,Poetry,Kino,356149.0,2011
9294,Trust,FL,356122.0,1991
9295,Iron and Silk,Mira.,356077.0,1991
9296,Luck by Chance,AdL.,356019.0,2009
9297,Omar,AF,356000.0,2014
9298,Ok Jaanu,FIP,355922.0,2017
9299,The Lady,Cohen,355391.0,2012
9300,Eat That Question: Frank Zappa in His Own Words,SPC,355074.0,2016
9301,My Name Is Joe,Art.,354952.0,1999
9302,Buffalo Soldiers,Mira.,354421.0,2003
9303,Love Is the Devil,Strand,354004.0,1998
9304,Broadway: The Golden Age,Da.,353580.0,2004
9305,Branded,RAtt.,353513.0,2012
9306,Comment Ma Mere Accoucha de Moi Durant,All.,353275.0,2003
9307,Like Dandelion Dust,BCR,352810.0,2010
9308,Effie Gray,AF,352534.0,2015
9309,The Princess of Montpensier,IFC,352428.0,2011
9310,Lumumba,Zeit.,352296.0,2001
9311,Long Strange Trip - The Untold Story of The Grateful Dead,Abr.,351957.0,2017
9312,Happy Bhaag Jayegi,Eros,351840.0,2016
9313,Weekend Warriors,MovE,351623.0,1986
9314,"Black Cat, White Cat",USA,351447.0,1999
9315,Everybody Wants to Be Italian,RAtt.,351416.0,2008
9316,Kitchen Stories,IFC,351235.0,2004
9317,Tokyo!,LibE,351059.0,2009
9318,Singham,Relbig.,350864.0,2011
9319,Maps to the Stars,FCW,350741.0,2015
9320,Kahaani 2,Eros,350703.0,2016
9321,Chico & Rita,GK,350524.0,2012
9322,Summer Heat,Atl,350481.0,1987
9323,L.O.R.D: Legend of Ravaging Dynasties,AR,350456.0,2016
9324,Since Otar Left,Zeit.,350391.0,2004
9325,The Face of Love,IFC,350006.0,2014
9326,Wanted (2009),Eros,349637.0,2009
9327,Two Evil Eyes,Tau,349618.0,1991
9328,Marilyn Hotchkiss' Ballroom Dancing & Charm School,IDP,349132.0,2006
9329,Pearl Jam - Let's Play Two,Abr.,348833.0,2017
9330,The Merry Gentleman,Gold.,347977.0,2009
9331,Teeth,RAtt.,347578.0,2008
9332,Suicide: The Ripple Effect,Gathr,347468.0,2018
9333,Billy: The Early Years of Billy Graham,RM,347328.0,2008
9334,Noble,Asp.,347321.0,2015
9335,Green Street Hooligans,Free,346830.0,2005
9336,The Family,Vest,346730.0,1988
9337,The Angels' Share,IFC,346669.0,2013
9338,High-Rise,Magn.,346472.0,2016
9339,The Deceivers,Cinc,346297.0,1988
9340,The Second Jungle Book: Mowgli and Baloo,TriS,346056.0,1997
9341,A Pyromaniac's Love Story,BV,345972.0,1995
9342,Prison,NW,345704.0,1988
9343,Dil Ka Rishtaa,Tips,345649.0,2003
9344,I Think I Do,Strand,345478.0,1998
9345,La Cage aux Folles 3,TriS,345280.0,1986
9346,Kaal,Eros,345091.0,2005
9347,American Adobo,Outr.,344992.0,2002
9348,It Takes Two (1988),MGM,344375.0,1988
9349,Windy City,WB,343890.0,1984
9350,The United States of Leland,ParC,343847.0,2004
9351,Tapeheads,Ave,343786.0,1988
9352,Canelo vs. Chavez Jr.,Fathom,343387.0,2017
9353,Drinking Buddies,Magn.,343341.0,2013
9354,Koch,Zeit.,342941.0,2013
9355,A Werewolf Boy,CJ,342922.0,2012
9356,Sleuth (2007),SPC,342895.0,2007
9357,The Dying Gaul,Hole.,342747.0,2005
9358,Le Chef,Cohen,342667.0,2014
9359,Talvar,Rel.,342370.0,2015
9360,Gori Tere Pyaar Mein,Relbig.,342184.0,2013
9361,Creation,NM,341323.0,2010
9362,Les Dangereux,Chri.,341280.0,2002
9363,Jellyfish,Zeit.,341221.0,2008
9364,The Fallen Idol (2006 re-issue),Rialto,341121.0,2006
9365,Jimi: All Is By My Side,XL,340911.0,2014
9366,Total Eclipse,FL,340139.0,1995
9367,Starbuck (U.S. only),E1,340058.0,2013
9368,Albino Alligator,Mira.,339379.0,1997
9369,Happy People: A Year in the Taiga,MBox,338987.0,2013
9370,Red Hook Summer,Vari.,338803.0,2012
9371,Lorna's Silence,SPC,338795.0,2009
9372,Chinese Puzzle,Cohen,338523.0,2014
9373,Northern Limit Line,WGUSA,337907.0,2015
9374,Night Game,TWE,337812.0,1989
9375,This Is Not What I Expected,WGUSA,337670.0,2017
9376,The Private Lives of Pippa Lee,Scre.,337356.0,2009
9377,Don't Move,N.Arts,337265.0,2005
9378,The Singing Detective,ParC,337174.0,2003
9379,Kyon? Ho Gaya Pyu,Eros,336909.0,2004
9380,Dark Obsession,Circ,336811.0,1991
9381,Shaadi No. 1,Eros,336772.0,2005
9382,Welcome to Collinwood,WB,336620.0,2002
9383,Tout est Parfait,All.,336569.0,2008
9384,I Origins,FoxS,336472.0,2014
9385,Enter the Void,IFC,336467.0,2010
9386,Talent for the Game,Par.,336396.0,1991
9387,Kings of Pastry,FRun,336386.0,2010
9388,Wooly Boys,MAC,335726.0,2004
9389,God's Own Country,Orion,335609.0,2017
9390,Diana,EOne,335359.0,2013
9391,The 2006 Academy Award Nominated Short Films,Magn.,335090.0,2007
9392,Russ Taff: I Still Believe,Fathom,334983.0,2018
9393,Frankenstein Unbound,Fox,334748.0,1990
9394,Chup Chup Ke,UTV,334618.0,2006
9395,"Like Father, Like Son (2014)",IFC,334616.0,2014
9396,The Devil and Daniel Johnston,SPC,334450.0,2006
9397,Welcome to Sarajevo,Mira.,334319.0,1997
9398,Monument Ave.,Lions,333760.0,1998
9399,The Memory of a Killer,SPC,333707.0,2005
9400,Ballet 422,Magn.,333554.0,2015
9401,Shine (2018),GVN,333388.0,2018
9402,The Guest (2014),PH,332890.0,2014
9403,Gabrielle,IFC,332829.0,2006
9404,The Assignment,Sony,332597.0,1997
9405,Zinda,Eros,332491.0,2006
9406,The First Grader,NGE,332306.0,2011
9407,Private Resort,TriS,331816.0,1985
9408,Te3n,Rel.,331507.0,2016
9409,Yuva,NEM,331166.0,2004
9410,The Lady and the Duke,SPC,331051.0,2002
9411,Hichki,Yash,330279.0,2018
9412,Lawless Heart,First,330067.0,2003
9413,Zelary,SPC,330033.0,2004
9414,Cheech,All.,329972.0,2006
9415,This Is England,IFC,329379.0,2007
9416,Kissed,Gold.,329211.0,1997
9417,Errol Spence vs. Mikey Garcia,Fathom,328979.0,2019
9418,The Producers (re-issue),Rialto,328673.0,2002
9419,Flower,Orch.,328188.0,2018
9420,Kaashmora,CineGalaxy,327959.0,2016
9421,Monty Python Live at the Hollywood Bowl,Col.,327958.0,1982
9422,Super,IFC,327716.0,2011
9423,The Man Who Killed Don Quixote,Fathom,327624.0,2019
9424,Viruddh,UTV,327615.0,2005
9425,Elaine Stritch: Shoot Me,IFC,327452.0,2014
9426,Liberal Arts,IFC,327345.0,2012
9427,Nymphomaniac: Volume II,Magn.,327167.0,2014
9428,The Road to Guantanamo,IDP,326876.0,2006
9429,Come Undone,Pict.,326484.0,2001
9430,Russian Dolls,IFC,326095.0,2006
9431,Ju-On: The Grudge,Vita.,325680.0,2004
9432,The Central Park Five,IFC,325653.0,2012
9433,Stranger By the Lake,Strand,325196.0,2014
9434,City of Men,Mira.,325131.0,2008
9435,Camp (2013),Free,324977.0,2013
9436,Shamitabh,Eros,324597.0,2015
9437,Les Enfants Du Marais,Lions,324006.0,1999
9438,World Gone Wild,Lori,323947.0,1988
9439,Bolshoi Ballet: The Nutcracker,Fathom,323928.0,2018
9440,Me You Them,SPC,323923.0,2001
9441,The Boys of Baraka,Think,323860.0,2005
9442,The Education of Little Tree,Par.,323411.0,1997
9443,Winter Sleepers,Wins.,323041.0,2000
9444,The Cement Garden,Oct.,322975.0,1994
9445,House of Cards,Mira.,322871.0,1993
9446,The Last Waltz,UA,322313.0,1978
9447,The Bounce Back,VPD,321910.0,2016
9448,Jafar Panahi's Taxi,KL,321642.0,2015
9449,In the Fade,Magn.,321011.0,2017
9450,Chuck,IFC,320725.0,2017
9451,Days of Glory,Wein.,320700.0,2006
9452,A Film Unfinished,Osci.,320486.0,2010
9453,Happy Together,Kino,320319.0,1997
9454,TerrorVision,EP,320256.0,1986
9455,Die Mommie Die!,Sun.,320092.0,2003
9456,The Opera House,Fathom,320079.0,2018
9457,Winter Solstice,ParC,319355.0,2005
9458,The Safety of Objects,IFC,319299.0,2003
9459,Compliance,Magn.,319285.0,2012
9460,Trading Mom,Trim.,319123.0,1994
9461,Steve Harvey's Don't Trip... He Ain't Through with Me Yet!,Free,319021.0,2006
9462,Adore,EXCL,318982.0,2013
9463,Bride of the Wind,ParC,318823.0,2001
9464,Bukowski: Born Into This,Magn.,318816.0,2004
9465,Telling Lies in America,Ban.,318809.0,1997
9466,The Yellow Handkerchief,Gold.,318623.0,2010
9467,Thirst,Focus,318574.0,2009
9468,Trekkies,ParC,318246.0,1999
9469,Not Today,Free,318121.0,2013
9470,Today's Special,Vita.,317831.0,2010
9471,Saathiya,Yash,317564.0,2002
9472,Lovers of the Arctic Circle,FL,317422.0,1999
9473,The Salt of Life,Zeit.,317405.0,2012
9474,On My Way,Cohen,317324.0,2014
9475,AmeriGeddon,Forewarned,316554.0,2016
9476,Good Kill,IFC,316472.0,2015
9477,Sweet Sixteen,Lions,316319.0,2003
9478,Promised Land,Vest,316199.0,1988
9479,The Riot and the Dance,Fathom,316103.0,2018
9480,David and Goliath,REI,316100.0,2015
9481,Le Dernier Souffle,Lions,316043.0,1999
9482,Under the Sun,Shad.,316020.0,2001
9483,Crusoe,Isld,315421.0,1989
9484,Josh Groban Bridges from Madison Square Garden,Trafalgar,315173.0,2019
9485,Obit.,KL,315049.0,2017
9486,Elling,First,314729.0,2002
9487,Pukar,Eros,314701.0,2000
9488,America's Heart and Soul,BV,314402.0,2004
9489,The Music of Chance,IRS,313967.0,1993
9490,Happy Ending,Eros,313770.0,2014
9491,Citizen Jane,IFC,313411.0,2017
9492,The Breadwinner,GK,313215.0,2017
9493,Bolshoi Ballet 2017/2018: Romeo and Juliet,Fathom,313088.0,2018
9494,Grass,Una.,313039.0,2000
9495,Back to 1942,CL,312954.0,2012
9496,Tais-toi,Chri.,312824.0,2004
9497,For the Bible Tells Me So,FRun,312751.0,2007
9498,The Hornet's Nest,Free,312706.0,2014
9499,City of Rock,WGUSA,312537.0,2017
9500,L'Amour Fou,IFC,312494.0,2011
9501,The Gatekeeper,Gat.,312434.0,2003
9502,The Mill and the Cross,KC,312187.0,2011
9503,The Flowers of War,WHE,311434.0,2012
9504,Bolshoi Ballet: Sleeping Beauty (2019),Fathom,311368.0,2019
9505,Monster in a Box,FL,311245.0,1992
9506,Running Man (2015),CL,310978.0,2015
9507,Hindustan Ki Kasam,Eros,310330.0,1999
9508,West of Memphis,SPC,310154.0,2012
9509,I Am Eleven,Proud,310116.0,2014
9510,A Cat in Paris,GK,309973.0,2012
9511,My Life as a Zucchini,GK,309766.0,2017
9512,Dark Days,Palm,309648.0,2000
9513,The Panama Deception,EPr,309596.0,1992
9514,Adam & Steve,TLA,309404.0,2006
9515,Love (2012),CL,309200.0,2012
9516,"Bigger, Stronger, Faster*",Magn.,308575.0,2008
9517,Masti,Eros,308566.0,2004
9518,Pumpkin,MGM,308552.0,2002
9519,P Storm,CMC,308533.0,2019
9520,The Slingshot,SPC,308368.0,1994
9521,Merchants of Doubt,SPC,308156.0,2015
9522,MET Opera: Magic Flute,Fathom,307686.0,2018
9523,Never Again,Focus,307631.0,2002
9524,Dot the I,Free,307486.0,2005
9525,Intacto,Lions,307333.0,2002
9526,The Addiction,Oct.,307308.0,1995
9527,Lost and Delirious,Lions,307233.0,2001
9528,Secuestro Express,Mira.,307208.0,2005
9529,Francofonia,MBox,307040.0,2016
9530,Whatever,SPC,307037.0,1998
9531,A Five Star Life,MBox,306917.0,2014
9532,This Film Is Not Yet Rated,IFC,306845.0,2006
9533,Nico-Icon,Roxie,306691.0,1995
9534,The Trip,TLA,306567.0,2003
9535,Constellation,BPic,306533.0,2007
9536,Hard Promises,Col.,306319.0,1992
9537,Unmistaken Child,Osci.,306140.0,2009
9538,Boarding School,Atl,306061.0,1983
9539,Attack on Titan: Part 2,FUN,305934.0,2015
9540,Pretty Persuasion,IDP,305800.0,2005
9541,Hair Show,Inn.,305281.0,2004
9542,Khushi,Eros,305205.0,2003
9543,Damsel,Magn.,305136.0,2018
9544,Eleni,WB,305102.0,1985
9545,Rapa Nui,WB,305070.0,1994
9546,Me Without You,IDP,304909.0,2002
9547,Four Lions,Drft.,304616.0,2010
9548,Fido,RAtt.,304533.0,2007
9549,Wilder vs Fury,Fathom,304482.0,2018
9550,Stolen (2012),MNE,304318.0,2012
9551,The Holy Girl,FL,304124.0,2005
9552,Being Elmo: A Puppeteer's Journey,SD,304052.0,2011
9553,White Material,IFC,304020.0,2010
9554,In the Land of Blood and Honey,FD,303877.0,2011
9555,The Chocolate War,MCE,303624.0,1988
9556,NH10,Eros,303587.0,2015
9557,"OSS 117: Cairo, Nest of Spies",MBox,303543.0,2008
9558,The Life Before Her Eyes,Magn.,303439.0,2008
9559,Mood Indigo,Drft.,303187.0,2014
9560,Holy Rollers,FInd.,303064.0,2010
9561,Mia Madre,MBox,303002.0,2016
9562,Chalk,ArtsA,302845.0,2007
9563,Bolshoi Ballet 2017/2018: Giselle,Fathom,302681.0,2018
9564,Linsanity,KE,302645.0,2013
9565,Kabul Express,Yash,302458.0,2006
9566,O'Horten,SPC,302232.0,2009
9567,Mr. Jealousy,Lions,301796.0,1998
9568,Happy End,SPC,301718.0,2017
9569,Lilies,Turb,301548.0,1997
9570,God Grew Tired of Us,NM,301447.0,2007
9571,Crazy Love,Magn.,301027.0,2007
9572,Armaan: The Desire,Eros,301010.0,2003
9573,42 Up,FRun,300880.0,1999
9574,White Water Summer,Col.,300859.0,1987
9575,Different for Girls,First,300645.0,1997
9576,Sukob (The Wedding Curse),ABS,300454.0,2006
9577,Cronicas,Palm,300322.0,2005
9578,London Dreams,Stu18,300293.0,2009
9579,The Informers,SenD,300000.0,2009
9580,Love's Labour's Lost,Mira.,299792.0,2000
9581,Sunset Boulevard,Par.,299645.0,1950
9582,SLC Punk!,SPC,299569.0,1999
9583,Cotton Mary,AL,299432.0,2000
9584,Festival in Cannes,ParC,299171.0,2002
9585,Beauty and the Beast (1946),Lope.,298718.0,1947
9586,Christine (2016),Orch.,298525.0,2016
9587,Go Goa Gone,Eros,298457.0,2013
9588,Silmido,CSr,298347.0,2004
9589,ITTEFAQ,Yash,298032.0,2017
9590,Bulletproof Heart,Key.,297415.0,1994
9591,Caterina in the Big City,Emp.,296464.0,2005
9592,Room 237,IFC,296359.0,2013
9593,Bonhoeffer,FRun,296131.0,2003
9594,Ethan Frome,Mira.,296081.0,1993
9595,Junglee,VPD,295784.0,2019
9596,Trixie,Sony,295683.0,2000
9597,Freeway,Roxie,295493.0,1996
9598,April and the Extraordinary World,GK,295488.0,2016
9599,Riff-Raff,FL,295444.0,1993
9600,Wet Hot American Summer,USA,295206.0,2001
9601,Ixcanul,KL,295157.0,2016
9602,Rent-A-Cop,King,295000.0,1988
9603,Mickey,Slg.,294758.0,2004
9604,Out Cold (1989),Hemd,294266.0,1989
9605,Adoration,SPC,294244.0,2009
9606,Love and Other Catastrophes,FoxS,294212.0,1997
9607,Bliss (1997),Triu,294064.0,1997
9608,Innocence (2014),JSC,294039.0,2014
9609,A Woman in Berlin,Strand,294014.0,2009
9610,The Dance of Reality,Abk.,293680.0,2014
9611,Feast of July,BV,293274.0,1995
9612,Buddies in India,CL,293194.0,2017
9613,Taxi 9211,UTV,292794.0,2006
9614,All Over Me,FL,292577.0,1997
9615,Power and Terror: Noam Chomsky in Our Times,FRun,292470.0,2002
9616,Passengers,Sony,292437.0,2008
9617,Luminarias,Latin,292309.0,2000
9618,Simon Sez,IA,292152.0,1999
9619,Passage to Zarahemla,Somr.,292102.0,2007
9620,The Man in 3B,Free,291513.0,2015
9621,I'm Dancing as Fast as I Can,Par.,291390.0,1982
9622,Carried Away,FL,290978.0,1996
9623,Kings and Queen,Wells,290973.0,2005
9624,Fraternity Row,Par.,290674.0,1977
9625,More Than Funny: Everybody Has a Punchline,Fathom,290498.0,2018
9626,The Aryan Couple,Slow,290211.0,2005
9627,Scratch,Palm,289885.0,2002
9628,Plain Clothes,Par.,289323.0,1988
9629,The Son of Bigfoot,VPD,289308.0,2018
9630,Shootout at Lokhandwala,RBF,289232.0,2007
9631,Antarctica: A Year on Ice,MBox,288757.0,2014
9632,Above and Beyond,ICir,288751.0,2015
9633,Sarfarosh,Eros,288733.0,1999
9634,I Am David,Lions,288552.0,2004
9635,The Last of Robin Hood,Gold.,288545.0,2014
9636,The People vs. Fritz Bauer,Cohen,288483.0,2016
9637,Last Train Home,Zeit.,288328.0,2010
9638,Something From Nothing: The Art of Rap,IM,288312.0,2012
9639,American Pimp,7Art,287724.0,2000
9640,Outrage,Magn.,287198.0,2009
9641,Go Away Mr. Tumor,CL,286639.0,2015
9642,Karthik Calling Karthik,Eros,286409.0,2010
9643,Andy Irons: Kissed by God,Fathom,285933.0,2018
9644,Aquarius,Vita.,285930.0,2016
9645,Cold Steel,Cntl,285885.0,1987
9646,Elsa & Fred (2014),MNE,285863.0,2014
9647,Golden Job,WGUSA,285795.0,2018
9648,Code 46,UA,285585.0,2004
9649,No Problem,Eros,285468.0,2010
9650,The Hero - Love Story of a Spy,VidS,285394.0,2003
9651,But Deliver Us from Evil,Indic.,285169.0,2018
9652,You Will Be My Son,Cohen,285151.0,2013
9653,Citizen Ruth,Mira.,285112.0,1996
9654,Marius and Jeannette,NYer,285038.0,1998
9655,Only Human,Magn.,284961.0,2006
9656,Dil Kya Kare,Eros,284856.0,1999
9657,The Doom Generation,Trim.,284785.0,1995
9658,Cyclo,Lions,284692.0,1996
9659,Khalid: Free Spirit,Trafalgar,284229.0,2019
9660,The Anonymous People,AM,284147.0,2013
9661,Powwow Highway,WB,283747.0,1989
9662,Kill Me Again,Istr,283694.0,1989
9663,Ten Canoes,Palm,283654.0,2007
9664,Theeb,FM,283024.0,2015
9665,The Duchess of Langeais,IFC,282749.0,2008
9666,The Interrupters,CGld,282448.0,2011
9667,White God,Magn.,282358.0,2015
9668,Irma Vep,Zeit.,282310.0,1997
9669,The King,Think,282183.0,2006
9670,Wide Awake,Mira.,282175.0,1998
9671,Green Dragon,Silv.,281803.0,2002
9672,A Borrowed Identity,Strand,281540.0,2015
9673,Life During Wartime,IFC,281447.0,2010
9674,That Evening Sun,Free,281350.0,2009
9675,Kundo: Age of the Rampant,WGUSA,280958.0,2014
9676,Hate (La Haine),Gram.,280859.0,1996
9677,RiffTrax Live: Octaman,Fathom,280710.0,2019
9678,I Do... Until I Don't,TFA,280668.0,2017
9679,The Battle of Shaker Heights,Mira.,280351.0,2003
9680,That's Entertainment! III,MGM,280163.0,1994
9681,Mad Love (2002),SPC,280046.0,2002
9682,Twice Upon a Yesterday,Trim.,279757.0,1999
9683,Blancanieves,Cohen,279735.0,2013
9684,American Hardcore,SPC,279665.0,2006
9685,Equinox,IRS,279627.0,1993
9686,"20,000 Days on Earth",Drft.,279558.0,2014
9687,Diane,IFC,279285.0,2019
9688,Christmas in the Clouds,Slow,279225.0,2005
9689,Wrestling Ernest Hemingway,WB,278720.0,1993
9690,Every Time We Say Goodbye,TriS,278623.0,1986
9691,Smiling Fish & Goat on Fire,Strat.,278492.0,2000
9692,Tokyo Sonata,Reg.,278356.0,2009
9693,The Tempest,Mira.,277943.0,2010
9694,Tokyo Decadence,N.Arts,277845.0,1993
9695,Lady Jane,Par.,277646.0,1986
9696,Solas,IDP,277596.0,2000
9697,In the Name of my Daughter,Cohen,277528.0,2015
9698,Something Special,PEC,277405.0,1986
9699,I Want to Eat Your Pancreas,Fathom,277019.0,2019
9700,Soul Kitchen,IFC,276901.0,2010
9701,The Unknown Known,RTWC,276497.0,2014
9702,Beefcake,Strand,276259.0,1999
9703,Science Fair,NGE,276195.0,2018
9704,Valentin,Mira.,275968.0,2004
9705,Morning Light,BV,275497.0,2008
9706,Mesrine: Public Enemy No. 1,MBox,275387.0,2010
9707,Southland Tales,Gold.,275380.0,2007
9708,Pinero,Mira.,275171.0,2001
9709,The Boy in Blue,Fox,275000.0,1986
9710,Hey Ram,Eros,274675.0,2000
9711,Taxi to the Dark Side,Think,274661.0,2008
9712,Kings (2018),Orch.,274635.0,2018
9713,Cafe au Lait,NYer,274596.0,1994
9714,One Two Three,Eros,274589.0,2008
9715,Main Tera Hero,Eros,274579.0,2014
9716,Amen,Kino,274299.0,2003
9717,Dirty,Silv.,274245.0,2006
9718,The Best of Youth,Mira.,274024.0,2005
9719,Planet B-Boy,Elep.,273870.0,2008
9720,Rascals,Eros,273829.0,2011
9721,The Black Power Mix Tape: 1967-1975,IFC,273749.0,2011
9722,The Swan Princess II,Leg.,273644.0,1997
9723,The Rules of the Game (re-issue),Jan.,273641.0,2006
9724,Empire Records,WB,273188.0,1995
9725,Becoming Colette,Castle,272931.0,1992
9726,Paradise Lost,CThnk,272750.0,1996
9727,Unhook the Stars,Mira.,272542.0,1996
9728,Heavy Petting,Skou,272371.0,1989
9729,Heart Like a Wheel,Fox,272278.0,1983
9730,After the Storm,FM,272132.0,2017
9731,Countdown to Zero,Magn.,272040.0,2010
9732,The Endless,WGUSA,272020.0,2018
9733,Tera Mera Ki Rishta,Eros,271942.0,2009
9734,Seven Samurai,Col.,271841.0,1956
9735,Night Moves,Cdgm.,271755.0,2014
9736,Love on the Cloud (Wei Ai),CL,271734.0,2014
9737,Big Girls Don't Cry... They Get Even,NL,271327.0,1992
9738,Deep Water,IFC,271143.0,2007
9739,Night of the Living Dead 3D,MME,271000.0,2006
9740,Himmatwala,UTV,270880.0,2013
9741,Waking the Dead,USA,270745.0,2000
9742,7 Khoon Maaf,UTV,270207.0,2011
9743,This Old Cub,Emr.,270014.0,2004
9744,Surfwise,Magn.,269994.0,2008
9745,Kingsglaive: Final Fantasy: XV,VE,269980.0,2016
9746,Stalker (2017 re-release),Jan.,269881.0,2017
9747,American Dream,Mira.,269823.0,1992
9748,"Lucia, Lucia",FoxS,269586.0,2003
9749,Foxfire,Gold.,269300.0,1996
9750,My Golden Days,Magn.,269144.0,2016
9751,The World Before Your Feet,Greenwich,268644.0,2018
9752,King of California,First,268461.0,2007
9753,Harvard Beats Yale 29-29,Kino,268431.0,2008
9754,Taxi (1998),Lions,268254.0,1998
9755,Psycho Beach Party,Strand,268117.0,2000
9756,Conan O'Brien Can't Stop,Abr.,267965.0,2011
9757,Morvern Callar,Cow.,267907.0,2002
9758,Honeydripper,Emr.,267880.0,2007
9759,Pastime,Mira.,267265.0,1991
9760,The Gospel According to Vic,Skou,267249.0,1986
9761,Waking Up in Reno,Mira.,267109.0,2002
9762,Yossi and Jagger,Strand,267005.0,2003
9763,The Lucky Ones,LGF,266967.0,2008
9764,Munger Road,Free,266689.0,2011
9765,Rosetta,USA,266665.0,1999
9766,The Love Punch,KE,266588.0,2014
9767,Nil by Mouth,SPC,266130.0,1998
9768,Hollow Reed,Lions,265732.0,1997
9769,Life of Crime,RAtt.,265452.0,2014
9770,The TV Set,Think,265198.0,2007
9771,Amongst Friends,FL,265000.0,1993
9772,The Grocer's Son,FM,264889.0,2008
9773,Doctor Who: Genesis of the Daleks,Fathom,264629.0,2018
9774,Beautiful People,Trim.,264292.0,2000
9775,Phil Ochs: There But For Fortune,FRun,263723.0,2011
9776,Split Image,Orion,263635.0,1982
9777,Elevator to the Gallows (Re-issue),Rialto,263404.0,2005
9778,Brand Upon the Brain!,Vita.,263200.0,2007
9779,Flirt,Lions,263192.0,1996
9780,Life and Debt,NYer,263107.0,2001
9781,Detective Dee: The Four Heavenly Kings,WGUSA,262963.0,2018
9782,The Family Fang,SM,262921.0,2016
9783,Wakefield,IFC,262599.0,2017
9784,Ernest & Celestine,GK,262075.0,2014
9785,Minimalism: A Documentary About the Important Things,Gathr,261865.0,2016
9786,Dheepan,IFC,261819.0,2016
9787,Journey of Hope,Mira.,261718.0,1991
9788,The Chaperone (2019),PBS,261444.0,2019
9789,The Stone Boy,Fox,261033.0,1984
9790,Steep,SPC,260586.0,2007
9791,Under Suspicion,Lions,260562.0,2000
9792,Eating You Alive,Fathom,260534.0,2018
9793,Stone Reader,Jet,260523.0,2003
9794,Hitchcock/Truffaut,Cohen,260430.0,2015
9795,"I, Daniel Blake",IFC,260354.0,2017
9796,What They Had,BST,260136.0,2018
9797,An Awfully Big Adventure,FL,259724.0,1995
9798,The Wind Will Carry Us,NYer,259510.0,2000
9799,Chattahoochee,Hemd,259486.0,1990
9800,The King (2018),Osci.,259291.0,2018
9801,Mobile Suit Gundam NT (Narrative),Fathom,259224.0,2019
9802,Illegally Yours,UA,259019.0,1988
9803,Closet Land,Uni.,259012.0,1991
